b2-name,b2-id-1,b2-id-2,b2-id-3,b2-id-4,b2-id-5,b2-id-6,b2-id-7,b2-id-8
10x Kamehameha,304,,,,,,,
Ah! Lord Frieza!,702,,,,,,,
Amazing Impact,421,,,,,,,
Angry Explosion,645,,,,,,,
Angry Kamehameha,709,,,,,,,
Assault!,434,,,,,,,
Babidi's Ultimate Power,717,,,,,,,
Bakuretsu Mahoko,479,,,,,,,
Bakuretsu Ranma,701,,,,,,,
Barrage Death Beam,477,,,,,,,
Beam Sword Slash,498,,,,,,,
Begone!,723,,,,,,,
Berserker Crash,516,,,,,,,
Big Bang Attack,334,617,,,,,,
Big Bang Crash,460,,,,,,,
Big Bang Kamehameha,305,,,,,,,
Big Tree Cannon,371,661,,,,,,
Bionic Punisher,415,,,,,,,
Blaster Meteor,748,,,,,,,
Blazing Barrage Palm,441,,,,,,,
Blazing Storm,409,513,,,,,,
Bloody Dance,439,,,,,,,
Bloody Smash,487,,,,,,,
Body Change,640,,,,,,,
Brave Cannon,373,,,,,,,
Brave Slash,396,,,,,,,
Brave Sword Attack,696,,,,,,,
Bros. Kamehameha,689,,,,,,,
Burning Attack,339,,,,,,,
Burning Breaker,489,,,,,,,
Burning Shoot,451,,,,,,,
Burning Storm,393,,,,,,,
Burning Tornado,508,,,,,,,
Burst Attack,473,,,,,,,
Burst Rush,634,,,,,,,
Charging Ultra Buu Buu Volleyball,639,,,,,,,
Chocolate Beam,449,,,,,,,
Chou Makouhou,314,315,715,,,,,
Chou Makouhou Barrage,400,401,675,,,,,
Chou Makousen,417,683,684,,,,,
Chou Maretsugeki,445,,,,,,,
Cold Family Power,732,,,,,,,
Counterattack!,366,,,,,,,
Crane Style Assassin Strike,365,,,,,,,
Crazy Combination,494,,,,,,,
Crazy Finger Beam,624,,,,,,,
Crazy Rush,426,,,,,,,
Cross Arm Attack,510,,,,,,,
Cross Arm Dive,727,,,,,,,
Crusher Ball,379,,,,,,,
Darkness Blaster,665,,,,,,,
Darkness Eye Beam,414,416,,,,,,
Darkness Illusion,430,,,,,,,
Darkness Sword Attack,630,,,,,,,
Dead Zone,680,,,,,,,
Death Ball,614,,,,,,,
Death Beam,333,,,,,,,
Death Chaser,431,,,,,,,
Death Impact,368,,,,,,,
Death Saucer,392,,,,,,,
Death Storm,408,,,,,,,
Demon Fork Rush,490,,,,,,,
Desperado Rush,432,,,,,,,
Destroy The Planet!,720,,,,,,,
Destructo Disc,343,404,,,,,,
Devilmite Beam,725,,,,,,,
DIE DIE Missile Barrage,399,,,,,,,
Dimension Sword Attack,632,,,,,,,
Dirty Fireworks,691,,,,,,,
Dodon Ray,332,,,,,,,
Dodoria Head Breaker,509,,,,,,,
Double Buster,454,,,,,,,
Dragon Fist,502,700,729,730,,,,
Dragon Thunder,450,,,,,,,
Drain Life 19,625,,,,,,,
Drain Life 20,626,,,,,,,
Drain Life Cell,352,627,,,,,,
Dynamic Mess Em Up Punch,492,,,,,,,
Eighter Attack,507,,,,,,,
Eighter's Anger,488,,,,,,,
Elegant Blaster,321,609,,,,,,
Energy Ballet,476,,,,,,,
Energy Wave,322,323,,,,,,
Energy's Last,375,,,,,,,
Eraser Cannon,337,703,,,,,,
Evil Flame,411,,,,,,,
Evil Impulse,318,,,,,,,
Execution Beam,475,,,,,,,
Expanding Energy Wave,342,,,,,,,
Explosive Demon Wave,471,706,,,,,,
Explosive Madan,467,,,,,,,
Farewell Mr. Tien,635,,,,,,,
Father-Son Kamehameha,688,,,,,,,
Final Explosion,647,,,,,,,
Final Flash,311,312,606,,,,,
Final Galick Cannon,452,,,,,,,
Final Impact,372,,,,,,,
Final Kamehameha,714,,,,,,,
Final Revenger,438,,,,,,,
Final Shine Attack,662,,,,,,,
Final Spirit Cannon,663,,,,,,,
Finger Beam,376,,,,,,,
Finger Blitz Barrage,405,406,,,,,,
Finish Buster,336,618,,,,,,
Fissure Slash,344,,,,,,,
Flame Shower Breath,317,,,,,,,
Flash and Kill,427,,,,,,,
Fork Attack,504,,,,,,,
Full Power Death Beam,472,,,,,,,
Full Power Energy Ball,338,380,673,674,,,,
Full Power Energy Barrage Wave,387,388,389,,,,,
Full Power Energy Blast Volley,346,348,349,350,,,,
Full Power Energy Wave,324,325,326,327,328,329,330,464
Galactic Buster,613,,,,,,,
Galactic Donut Volley,360,,,,,,,
Galactic Donuts,359,,,,,,,
Galactic Tyrant,425,,,,,,,
Galaxy Dynamite,381,,,,,,,
Galick Gun,308,309,,,,,,
Gatling Gun,456,,,,,,,
Gekiretsu Madan,383,474,,,,,,
Gekiretsu Ranbu,743,,,,,,,
Gekiretsu Shin'ou'hou,658,,,,,,,
